TITLE,AUTHORS,EQUAL_CONTRIBUTION,CORRESPONDENCE
V-Express: Conditional Dropout for Progressive Training of Portrait Video Generation,Cong Wang;Kuan Tian;Jun Zhang;Yonghang Guan;Feng Luo;Fei Shen;Zhiwei Jiang;Qing Gu;Xiao Han;Wei Yang,Cong Wang;Kuan Tian,Jun Zhang;Zhiwei Jiang
A Debiased Nearest Neighbors Framework for Multi-Label Text Classification,Zifeng Cheng;Zhiwei Jiang;Yafeng Yin;Zhaoling Chen;Cong Wang;Shiping Ge;Qiguo Huang;Qing Gu,,Zhiwei Jiang
